                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.67482,                0.42979,                 1.0316,                0.32988,                0.91667,                0.49458,                 0.4341,                0.53911,                  2.033,                0.97694,              0.0013534,              0.0013534,              0.0013534
                     60,                0.66898,                 0.4116,                 1.0065,                0.63125,                0.99669,                0.87063,                0.76105,                0.59854,                0.62845,                 1.0001,              0.0013479,              0.0013479,              0.0013479
                     61,                0.65854,                 0.4131,                 1.0111,                0.69323,                0.83151,                 0.8235,                0.70648,                0.67084,                0.66905,                 1.0298,              0.0013424,              0.0013424,              0.0013424
                     62,                0.66838,                0.38121,                 1.0277,                0.94159,                0.92207,                  0.995,                0.85007,                0.61665,                0.44803,                 1.0328,              0.0013369,              0.0013369,              0.0013369
                     63,                0.64237,                0.38718,                 0.9894,                0.92218,                0.97952,                  0.995,                0.85217,                0.60109,                0.39326,                 1.0159,              0.0013314,              0.0013314,              0.0013314
                     64,                0.75289,                0.39595,                 1.0599,                0.90612,                0.82447,                  0.995,                0.88031,                0.53903,                0.45764,                0.92474,              0.0013259,              0.0013259,              0.0013259
                     65,                0.65561,                0.40944,                 1.0191,                 0.8128,                0.76239,                  0.995,                0.86618,                0.58338,                0.63367,                0.95357,              0.0013204,              0.0013204,              0.0013204
                     66,                0.66108,                0.38761,                 1.0213,                0.98611,                      1,                  0.995,                0.83786,                0.67683,                0.38569,                 0.9586,              0.0013149,              0.0013149,              0.0013149
                     67,                0.66816,                0.37965,                0.99478,                0.98737,                      1,                  0.995,                0.87392,                0.60773,                0.33935,                0.92622,              0.0013094,              0.0013094,              0.0013094
                     68,                0.69378,                0.39221,                 1.0081,                 0.9837,                      1,                  0.995,                0.86294,                0.68963,                0.37723,                0.94662,              0.0013039,              0.0013039,              0.0013039
                     69,                0.68081,                0.42588,                 1.0201,                0.91095,                    0.5,                 0.6059,                0.51686,                0.57711,                 1.3472,                0.90741,              0.0012984,              0.0012984,              0.0012984
                     70,                0.62854,                0.37427,                0.97831,                0.82503,                0.93335,                0.86338,                0.73374,                0.61125,                0.40784,                 0.9171,              0.0012929,              0.0012929,              0.0012929
                     71,                0.65364,                0.38093,                 1.0052,                0.86832,                0.96429,                0.98882,                0.88208,                0.53843,                0.33255,                 0.9314,              0.0012874,              0.0012874,              0.0012874
                     72,                0.64518,                0.40948,                0.98852,                0.82884,                0.90414,                  0.995,                0.88265,                 0.5705,                0.43171,                0.96356,              0.0012819,              0.0012819,              0.0012819
                     73,                0.69261,                0.39688,                 1.0442,                0.66824,                0.90595,                0.93269,                0.83622,                0.53981,                0.65397,                0.94804,              0.0012764,              0.0012764,              0.0012764
                     74,                0.64889,                0.36209,                 1.0033,                0.69459,                0.98408,                0.86749,                0.71807,                0.64012,                0.74917,                0.96579,              0.0012709,              0.0012709,              0.0012709
                     75,                0.65074,                0.36311,                 1.0001,                0.51982,                   0.75,                0.56868,                0.47839,                0.64035,                 1.3673,                0.98825,              0.0012654,              0.0012654,              0.0012654
                     76,                0.59936,                0.34282,                0.98232,                0.64191,                 0.8182,                0.66713,                0.57752,                 0.5665,                0.79013,                0.91335,              0.0012599,              0.0012599,              0.0012599
                     77,                0.64589,                0.37028,                 1.0135,                0.67328,                0.91359,                  0.796,                0.70438,                0.62276,                0.56208,                0.93796,              0.0012544,              0.0012544,              0.0012544
                     78,                 0.6084,                0.34545,                0.98546,                0.99412,                      1,                  0.995,                0.88548,                0.60817,                0.35688,                0.93668,              0.0012489,              0.0012489,              0.0012489
                     79,                0.62024,                0.34642,                0.99956,                 0.9859,                      1,                  0.995,                0.86543,                0.65175,                0.67305,                0.95093,              0.0012434,              0.0012434,              0.0012434
                     80,                0.63502,                0.34458,                  1.004,                0.95845,                      1,                  0.995,                0.88764,                0.56534,                 0.4994,                0.91715,              0.0012379,              0.0012379,              0.0012379
                     81,                 0.6238,                0.37084,                0.97134,                0.60111,                      1,                  0.995,                0.86034,                 0.5592,                0.64102,                0.92749,              0.0012324,              0.0012324,              0.0012324
                     82,                0.63466,                0.36842,                0.97813,                0.93494,                0.87356,                0.94946,                0.82844,                0.66182,                0.47363,                0.95109,              0.0012269,              0.0012269,              0.0012269
                     83,                0.61278,                0.35236,                0.98177,                0.74777,                0.83029,                  0.995,                0.86724,                  0.763,                0.62298,                 1.0122,              0.0012214,              0.0012214,              0.0012214
                     84,                0.63893,                0.34416,                0.99206,                0.52327,                      1,                0.99135,                0.85171,                0.69486,                0.99692,                0.96968,              0.0012159,              0.0012159,              0.0012159
                     85,                0.62753,                0.33571,                0.97895,                0.67738,                0.83009,                0.75278,                0.65179,                0.59797,                0.84153,                0.93701,              0.0012104,              0.0012104,              0.0012104
                     86,                0.63255,                0.34203,                 1.0196,                 0.7421,                0.99581,                  0.995,                0.84907,                0.57553,                0.38824,                0.92906,              0.0012049,              0.0012049,              0.0012049
                     87,                0.61523,                0.34867,                 0.9743,                 0.7361,                0.89286,                0.86844,                0.72853,                0.55394,                0.50289,                0.91882,              0.0011994,              0.0011994,              0.0011994
                     88,                0.59833,                 0.3374,                0.97582,                0.65497,                0.84893,                0.92133,                0.81622,                0.58579,                0.79619,                0.94281,              0.0011939,              0.0011939,              0.0011939
                     89,                0.63932,                0.38733,                 1.0234,                0.65844,                0.99341,                0.84779,                0.74016,                0.58011,                 0.5123,                0.93799,              0.0011884,              0.0011884,              0.0011884
                     90,                0.67374,                0.36182,                 1.0162,                0.84227,                0.93057,                  0.995,                0.88839,                0.59411,                0.36667,                0.94266,              0.0011829,              0.0011829,              0.0011829
                     91,                0.65929,                0.35768,                 1.0007,                0.63076,                0.97705,                0.87063,                0.75613,                0.56871,                0.71664,                0.94212,              0.0011774,              0.0011774,              0.0011774
                     92,                 0.6119,                0.34781,                 0.9876,                0.76213,                0.91199,                  0.995,                0.87954,                0.53347,                 0.4421,                0.91713,              0.0011719,              0.0011719,              0.0011719
                     93,                0.64201,                0.34087,                 1.0147,                0.63456,                0.86052,                0.72844,                0.63381,                0.53245,                 0.8858,                0.92743,              0.0011664,              0.0011664,              0.0011664
                     94,                0.62369,                0.35562,                0.98516,                0.65802,                0.80315,                0.65727,                0.57218,                0.56964,                0.91184,                0.91858,              0.0011609,              0.0011609,              0.0011609
                     95,                0.62386,                0.35575,                 0.9997,                0.70071,                0.97008,                  0.995,                0.87559,                0.52302,                0.48055,                 0.9149,              0.0011554,              0.0011554,              0.0011554
                     96,                0.54305,                0.31846,                0.95541,                0.67652,                0.94387,                  0.995,                0.85546,                0.57606,                0.60312,                0.95213,              0.0011499,              0.0011499,              0.0011499
                     97,                0.60704,                0.33801,                0.98821,                0.65775,                      1,                  0.995,                0.88477,                0.53896,                0.62521,                0.92368,              0.0011444,              0.0011444,              0.0011444
                     98,                0.60952,                0.33256,                  1.004,                0.66667,                0.85478,                0.89125,                0.77402,                0.62014,                0.79033,                0.97209,              0.0011389,              0.0011389,              0.0011389
                     99,                 0.5828,                0.33006,                0.97417,                0.65846,                0.83534,                 0.6969,                0.59944,                0.64031,                0.86601,                0.95202,              0.0011334,              0.0011334,              0.0011334
                    100,                0.64068,                0.36316,                0.99157,                0.63254,                0.74918,                0.54512,                0.45893,                0.64545,                 1.1853,                0.94618,              0.0011279,              0.0011279,              0.0011279
                    101,                0.61572,                0.33842,                 0.9825,                0.73902,                0.78007,                0.65065,                0.53363,                0.57294,                0.84922,                0.93062,              0.0011224,              0.0011224,              0.0011224
